Brand,Ratings,Speaker,Size,HD,HDMI,USB,Cost,buy_from,img_url
Mi,4.4,20,32,HD,3,2,14499,https://www.flipkart.com/mi-4a-pro-80-cm-32-inch-hd-ready-led-smart-android-tv-google/p/itmfdwh5jyqhmvzg?pid=TVSG22C4DXQRVSTT&lid=LSTTVSG22C4DXQRVSTTJZD2M0&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSG22C4DXQRVSTT.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kc54ivk0/television/r/q/g/mi-l43m4-4ain-original-imaftc5fy6bfmhyb.jpeg?q=70
Mi,4.4,20,43,Ultra HD 4K,3,2,27999,https://www.flipkart.com/mi-4x-108-cm-43-inch-ultra-hd-4k-led-smart-android-tv/p/itmab87244d2fead?pid=TVSGFH5PQRTFRTVG&lid=LSTTVSGFH5PQRTFRTVGITUOXL&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSGFH5PQRTFRTVG.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kc54ivk0/television/r/q/g/mi-l43m4-4ain-original-imaftc5fy6bfmhyb.jpeg?q=70
Mi,4.4,20,50,Ultra HD 4K,3,2,33999,https://www.flipkart.com/mi-4x-125-7-cm-50-inch-ultra-hd-4k-led-smart-android-tv/p/itm371a670b12dee?pid=TVSFSFUMDQAVJYCU&lid=LSTTVSFSFUMDQAVJYCUUKBYE3&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSFSFUMDQAVJYCU.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kc54ivk0/television/y/c/u/mi-l50m5-5ain-original-imaftc5fzuhfdvzm.jpeg?q=70
Mi,4.1,20,32,HD,3,2,15499,https://www.flipkart.com/mi-4a-horizon-80-cm-32-inch-hd-ready-led-smart-android-tv/p/itm9dcfc24f18feb?pid=TVSG22C46SKHXTH8&lid=LSTTVSG22C46SKHXTH8LDWFQD&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&spotlightTagId=TrendingId_ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSG22C46SKHXTH8.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kf5pzm80/television/f/h/e/mi-l32m6-ei-original-imafvzefsh27shv6.jpeg?q=70
Mi,4.4,20,40,Full HD,3,2,21999,https://www.flipkart.com/mi-4a-100-cm-40-inch-full-hd-led-smart-android-tv-google/p/itmaaa9224388773?pid=TVSFJRFFJVY3HG5R&lid=LSTTVSFJRFFJVY3HG5RFBHWCP&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSFJRFFJVY3HG5R.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kc54ivk0/television/g/5/r/mi-l40m5-5ain-original-imaftc5frwsvkmvz.jpeg?q=70
realme,4.3,24,43,Full HD,3,2,23999,https://www.flipkart.com/realme-108-cm-43-inch-full-hd-led-smart-android-tv/p/itme64cc2d6c5919?pid=TVSFRTJQ4ZBT7RGM&lid=LSTTVSFRTJQ4ZBT7RGMTFCZSA&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSFRTJQ4ZBT7RGM.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kae95e80/television/r/g/m/realme-tv-43-original-imafrz78gbgx3zz5.jpeg?q=70
realme,4.3,24,32,HD,3,2,14999,https://www.flipkart.com/realme-80-cm-32-inch-hd-ready-led-smart-android-tv/p/itm56d1cf16da75b?pid=TVSFRTJQTZVKTF6Y&lid=LSTTVSFRTJQTZVKTF6YTYQNP6&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSFRTJQTZVKTF6Y.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kae95e80/television/f/6/y/realme-tv-32-original-imafrz79pweqeafh.jpeg?q=70
LG,4.3,10,32,HD,2,1,16999,https://www.flipkart.com/lg-80-cm-32-inch-hd-ready-led-smart-tv-2020/p/itm6207e6d122567?pid=TVSFTW4CSRW8PGDQ&lid=LSTTVSFTW4CSRW8PGDQSZQIO6&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&spotlightTagId=BestvalueId_ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSFTW4CSRW8PGDQ.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kdyus280/television/g/d/q/lg-32lm565bpta-32lm565bpta-original-imafurgkdrjfggbw.jpeg?q=70
Mi,4.4,20,43,Full HD,3,3,24999,https://www.flipkart.com/mi-4a-pro-108-cm-43-inch-full-hd-led-smart-android-tv-google/p/itmfbzck4mhggxxg?pid=TVSFBZCKAVGCUCME&lid=LSTTVSFBZCKAVGCUCMETCBDCK&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSFBZCKAVGCUCME.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/k9u8zgw0/television/c/m/e/mi-l43m5-an-original-imafrjtbdbnczaxk.jpeg?q=70
SAMSUNG,4.4,20,32,HD,2,1,16999,https://www.flipkart.com/samsung-80-cm-32-inch-hd-ready-led-smart-tv-2020/p/itma5db0294e13fe?pid=TVSFQXFKMHUDYCJ3&lid=LSTTVSFQXFKMHUDYCJ3IOJXHJ&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=03c771b4-8faf-4b21-9d3c-864847611a98.TVSFQXFKMHUDYCJ3.SEARCH&ppt=None&ppn=None&ssid=6m29uaz94w0000001622280432203&qH=c9a1fdac6e082dd8,https://rukminim1.flixcart.com/image/832/832/kbs9k7k0/television/c/j/3/samsung-ua32t4340akxxl-original-imaft25qdysfsq7k.jpeg?q=70
